name,ts,glat,glon,curv,epeak,fpeak,curv_unc
4FGL J1810.2-3054,34.118,-5.686,0.980,1.541,2.975,0.130,0.559
4FGL J1810.3+1332,73.330,15.118,40.614,0.606,1.518,0.126,0.305
4FGL J1810.5-1415,35.780,2.354,15.563,0.358,0.370,1.435,0.342
4FGL J1810.6-0945,113.127,4.480,19.573,0.782,0.182,13.052,0.407
4FGL J1811.7-1442,44.632,1.869,15.298,0.776,1.576,0.682,0.414
4FGL J1811.9-2336,155.088,-2.462,7.525,0.723,0.325,23.464,0.294
4FGL J1812.2-0856,61.140,4.475,20.538,1.568,0.607,2.892,0.431
4FGL J1812.8-3144,170.424,-6.499,0.493,0.899,2.133,0.973,0.303
4FGL J1813.2-1128,75.182,3.094,18.373,0.446,2.284,1.360,0.200
4FGL J1813.7-1152,176.764,2.811,18.069,0.722,0.421,8.826,0.336
4FGL J1813.7-6846,138.383,-21.856,325.532,0.277,1.584,0.182,0.157
4FGL J1814.2-3000,62.542,-5.935,2.132,0.607,0.743,0.289,0.370
4FGL J1814.6-3621,111.706,-8.968,356.500,0.365,0.419,0.929,0.237
4FGL J1814.6-2537,133.119,-3.978,6.039,0.996,1.394,2.396,0.491
4FGL J1814.7-3420,115.038,-8.045,358.335,1.077,0.886,0.663,0.402
4FGL J1815.3-1336,56.055,1.569,16.813,1.996,1.313,2.109,
4FGL J1815.8-1416,94.032,1.191,16.227,0.468,1.701,3.921,0.191
4FGL J1816.3-2903,114.970,-5.807,3.273,1.990,0.550,1.557,
4FGL J1816.4-0057,34.928,7.370,28.132,0.496,0.435,0.631,3.333
4FGL J1816.4-2727,168.071,-5.168,4.644,0.655,1.282,1.249,0.249
4FGL J1816.4-6405,272.326,-20.553,330.371,0.628,1.031,0.511,0.191
4FGL J1816.7+1749,137.516,15.520,45.366,0.461,1.724,0.280,0.168
4FGL J1817.6-3251,63.134,-7.937,0.148,1.978,0.910,0.403,
4FGL J1817.7-2517,138.956,-4.418,6.707,1.340,1.283,1.500,0.604
4FGL J1817.9-3334,244.182,-8.269,359.353,0.988,0.760,1.633,0.239
4FGL J1817.9-1135,93.215,1.968,18.686,0.909,0.474,2.439,0.495
4FGL J1818.1-2000,143.469,-2.043,11.395,1.606,2.257,2.537,0.463
4FGL J1818.5-2036,57.794,-2.559,10.890,0.675,0.798,3.105,0.313
4FGL J1818.6+1316,289.733,13.200,41.256,0.886,1.615,0.774,0.256
4FGL J1818.6-3206,212.826,-7.698,0.758,0.936,0.597,2.721,0.304
4FGL J1818.8-2255,62.912,-3.526,8.918,0.538,1.428,0.614,0.228
4FGL J1818.8-0828,68.864,3.276,21.672,0.512,1.519,0.878,0.288
4FGL J1819.3-0935,37.911,2.651,20.729,0.274,0.719,0.670,0.234
4FGL J1819.9-2926,155.004,-6.741,3.255,0.744,0.810,1.438,0.286
4FGL J1820.2-1303,64.601,0.781,17.811,0.439,0.100,3265.580,0.398
4FGL J1820.3-2646,114.284,-5.688,5.669,1.626,0.100,82.550,0.576
4FGL J1820.6-0326,31.594,5.234,26.332,1.962,2.715,0.339,
4FGL J1820.7-3217,92.533,-8.227,0.761,1.103,1.870,0.436,0.536
4FGL J1821.5-2531,71.473,-5.283,6.922,0.442,0.283,1.197,0.263
4FGL J1822.6-2502,70.102,-5.338,7.490,0.948,1.326,0.649,0.478
4FGL J1822.8-1118,26.148,1.104,19.634,0.231,1.184,0.549,0.201
4FGL J1822.9-4718,214.838,-15.098,347.110,0.507,1.266,0.474,0.220
4FGL J1823.3-1340,1542.779,-0.110,17.592,0.469,1.518,210.213,0.083
4FGL J1824.2-5427,391.658,-18.059,340.329,0.710,1.934,0.732,0.213
4FGL J1824.7+2403,93.080,16.265,52.065,0.716,2.322,0.095,0.350
4FGL J1825.0-2547,29.172,-6.075,6.956,0.846,1.526,0.158,0.510
4FGL J1825.5-2647,35.246,-6.637,6.162,0.364,1.183,0.190,0.337
4FGL J1825.8+1204,50.067,11.078,40.913,0.479,1.396,0.137,0.420
4FGL J1825.9-3153,104.757,-9.069,1.630,0.604,0.609,0.469,0.364
4FGL J1827.5+1141,369.780,10.566,40.759,0.601,1.562,1.035,0.182
4FGL J1828.1-1312,72.783,-0.949,18.561,1.241,0.100,2514.611,0.603
4FGL J1828.2-3252,70.246,-9.870,0.968,1.262,3.399,0.224,0.673
4FGL J1829.6-2545,108.096,-7.028,7.488,1.973,0.306,3.807,
4FGL J1829.6-4310,43.544,-14.458,351.572,1.410,1.602,0.086,0.586
4FGL J1830.7-1634,667.849,-3.039,15.853,0.444,1.536,10.456,0.134
4FGL J1830.7-2414,76.247,-6.572,8.998,1.580,0.664,0.845,0.624
4FGL J1830.8-3132,274.725,-9.808,2.423,1.100,2.276,1.073,0.311
4FGL J1831.2-0013,35.851,4.437,30.413,1.245,1.778,0.723,0.568
4FGL J1831.8-2514,41.985,-7.204,8.214,1.332,1.240,0.370,0.712
4FGL J1832.4-0847,182.980,0.194,22.966,1.747,2.974,21.308,0.448
4FGL J1833.4+1109,36.170,8.990,40.862,0.807,3.181,0.100,0.400
4FGL J1834.3+0613,116.143,6.653,36.577,0.877,1.616,0.547,0.440
4FGL J1834.9-0800,105.302,0.015,23.888,0.821,0.270,70.500,0.227
4FGL J1835.1-0517,55.451,1.209,26.372,1.999,0.100,42.888,
4FGL J1835.3-2439,124.302,-7.665,9.099,0.127,0.100,173.537,0.157
4FGL J1836.1-2656,41.297,-8.861,7.088,1.603,0.100,2.800,0.583
4FGL J1836.8-2354,113.454,-7.650,10.071,1.017,0.565,1.283,0.307
4FGL J1837.9-0620,89.282,0.075,25.798,0.290,0.145,17.776,0.204
4FGL J1838.2+3223,155.030,16.675,61.298,0.751,0.612,0.351,0.369
4FGL J1838.4-0545,262.022,0.307,26.384,0.773,0.100,1275.591,0.305
4FGL J1838.7-0601,81.509,0.047,26.104,0.146,0.178,13.712,0.168
4FGL J1839.0-1502,69.877,-4.132,18.131,0.666,0.823,0.644,0.346
4FGL J1840.3+1105,36.560,7.479,41.582,0.619,2.468,0.084,0.379
4FGL J1840.4-1705,60.588,-5.376,16.437,0.320,1.856,0.239,0.299
4FGL J1840.4-1139,136.480,-2.891,21.303,1.299,2.085,2.203,0.398
4FGL J1842.1+2737,367.631,14.064,57.052,1.292,2.325,0.878,0.299
4FGL J1843.3-1242,162.314,-3.991,20.679,0.665,1.039,2.016,0.264
4FGL J1843.7-0326,282.544,0.169,29.015,0.381,0.100,2392.616,0.158
4FGL J1844.8-0957,65.400,-3.042,23.295,0.500,0.685,0.782,0.282
4FGL J1845.8-2521,241.400,-10.112,9.518,0.612,0.914,1.669,0.155
4FGL J1846.0+0507,151.515,3.529,36.892,0.894,2.365,1.262,0.382
4FGL J1847.0-0625,93.005,-1.919,26.713,0.998,1.900,1.183,0.395
4FGL J1847.2-0141,271.247,0.196,30.928,0.513,0.990,62.240,0.170
4FGL J1847.7-0125,41.092,0.324,31.398,0.101,1.852,3.241,0.152
4FGL J1847.7-3433,88.751,-14.235,1.127,1.119,1.109,0.197,0.519
4FGL J1848.2-1309,26.579,-5.253,20.807,1.422,1.869,0.181,0.612
4FGL J1848.8+0701,67.260,3.771,38.832,1.887,0.146,10.701,0.600
4FGL J1849.0-1826,69.966,-7.790,16.159,0.865,0.694,0.413,0.417
4FGL J1849.4-0117,71.095,-0.209,31.536,0.246,0.660,7.146,0.147
4FGL J1849.8-0952,29.824,-4.176,23.900,1.702,0.100,11.153,0.626
4FGL J1850.8-1105,104.808,-4.871,22.900,1.573,0.729,1.021,0.624
4FGL J1851.0+1558,67.860,7.274,47.161,1.000,0.749,0.321,0.580
4FGL J1851.5+0718,143.311,3.298,39.468,1.413,2.058,2.444,0.477
4FGL J1852.6+0203,130.428,0.652,34.911,0.445,1.382,8.463,0.204
4FGL J1852.6-1159,60.449,-5.694,22.346,0.446,0.100,16.364,0.276
4FGL J1852.7-1242,46.351,-6.056,21.724,0.665,1.403,0.263,0.352
4FGL J1853.0-0956,90.116,-4.928,24.164,0.982,0.886,0.974,0.488
4FGL J1853.6-0620,99.104,-3.345,27.505,0.480,0.906,1.091,0.262
4FGL J1853.8-1107,74.486,-5.497,23.345,0.218,0.978,0.720,0.216
4FGL J1854.7+0153,108.695,0.226,35.031,0.443,1.926,8.404,0.211
4FGL J1855.2+0456,169.790,1.403,37.810,0.500,0.100,793.834,0.161
4FGL J1855.3-0740,99.427,-4.455,26.404,1.988,0.494,3.171,
4FGL J1855.6-3603,41.048,-16.348,0.223,1.784,1.839,0.095,0.529
4FGL J1855.8+0150,149.879,-0.156,35.064,0.355,0.550,28.157,0.149
4FGL J1856.5+1735,188.184,6.836,49.256,1.003,0.670,1.270,0.365
4FGL J1856.7-0116,37.922,-1.735,32.349,0.492,0.844,1.121,0.329
4FGL J1857.8-3220,91.064,-15.360,4.066,0.496,1.412,0.263,0.223
4FGL J1858.0-1052,109.069,-6.382,24.002,1.434,0.470,1.921,0.699
4FGL J1858.3-1318,76.066,-7.497,21.790,0.734,0.131,2.126,0.320
4FGL J1858.5-4446,126.038,-19.933,351.969,0.461,0.807,0.240,0.232
4FGL J1858.9+3636,90.477,14.394,67.007,1.295,1.024,0.115,0.512
4FGL J1859.2-0706,66.893,-4.981,27.444,0.556,1.727,0.265,0.252
4FGL J1859.3+0058,78.512,-1.310,34.699,0.276,1.867,2.397,0.215
4FGL J1900.4+0339,230.443,-0.343,37.216,0.704,1.218,28.157,0.178
4FGL J1900.9+0538,39.272,0.481,39.052,0.837,1.573,1.918,0.228
4FGL J1901.1+0730,141.405,1.251,40.707,0.407,1.863,3.289,0.142
4FGL J1901.5-1112,77.218,-7.288,24.064,0.283,0.692,0.608,0.224
4FGL J1901.8-0718,205.482,-5.606,27.587,0.994,0.428,2.304,0.358
4FGL J1902.4-3417,68.931,-16.973,2.433,0.925,0.902,0.233,0.390
4FGL J1902.5+0654,118.650,0.700,40.345,0.406,1.918,2.702,0.165
4FGL J1902.8-0855,76.457,-6.587,26.261,1.702,0.618,1.084,0.673
4FGL J1904.0-5925,112.026,-24.688,336.889,0.588,1.146,0.146,0.259
4FGL J1904.7-0708,679.378,-6.216,28.067,0.602,0.718,8.717,0.120
4FGL J1906.0-1718,84.771,-10.945,18.976,1.095,1.904,0.256,0.538
4FGL J1906.1+1651,132.675,4.446,49.607,1.921,3.335,0.521,0.366
4FGL J1906.4-2001,67.444,-12.168,16.470,1.611,1.084,0.296,0.785
4FGL J1906.9+0712,772.025,-0.154,41.130,0.449,1.084,82.062,0.124
4FGL J1908.7+0812,128.957,-0.064,42.180,0.814,0.129,39.809,0.179
4FGL J1908.8-0131,726.216,-4.565,33.542,0.974,1.496,9.976,0.163
4FGL J1909.2+4646,101.922,16.532,77.463,1.193,1.864,0.093,0.452
4FGL J1910.1-4704,70.681,-22.525,350.281,1.153,0.888,0.156,0.554
4FGL J1911.4-4856,111.507,-23.245,348.350,1.463,1.842,0.198,0.598
4FGL J1912.0+0927,50.625,-0.178,43.604,0.613,0.508,5.436,0.212
4FGL J1912.5+1320,89.855,1.446,47.181,0.645,0.100,162.115,0.232
4FGL J1912.7+4610,182.789,15.773,77.218,0.647,1.060,0.238,0.194
4FGL J1913.4-1526,137.927,-11.755,21.442,1.506,2.064,0.466,0.544
4FGL J1914.6-1157,84.295,-10.511,24.801,0.659,0.624,0.708,0.248
4FGL J1916.8-3025,643.954,-18.407,7.511,0.529,2.948,2.310,0.133
4FGL J1917.6-3204,140.325,-19.117,5.942,0.375,1.510,0.381,0.201
4FGL J1920.0-2622,81.141,-17.571,11.784,0.709,1.297,0.179,0.278
4FGL J1924.8-1035,358.657,-12.168,27.166,0.870,2.077,2.106,0.218
4FGL J1927.4+0253,95.874,-6.671,39.701,1.402,1.049,0.567,0.626
4FGL J1929.0+1729,134.266,-0.055,52.686,0.707,1.615,6.409,0.147
4FGL J1931.1+1656,692.091,-0.766,52.446,0.654,0.358,97.701,0.131
4FGL J1934.2-1446,78.584,-16.118,24.374,1.381,0.393,0.626,0.815
4FGL J1934.2+1036,51.789,-4.497,47.291,0.451,0.193,2.833,0.316
4FGL J1936.6+1921,63.470,-0.753,55.299,0.765,0.969,1.426,0.429
4FGL J1940.2-2511,118.840,-21.337,14.675,0.490,1.233,0.259,0.174
4FGL J1943.9+2841,66.225,2.365,64.182,0.709,1.449,0.467,0.364
4FGL J1944.8+4301,173.949,9.271,76.827,0.957,2.756,0.229,0.375
4FGL J1946.5-1527,50.130,-18.982,24.846,0.491,2.851,0.080,0.259
4FGL J1947.0+0031,67.294,-12.073,39.847,0.960,3.227,0.140,0.357
4FGL J1948.1+2511,59.094,-0.228,61.636,1.702,1.231,2.073,0.818
4FGL J1948.9+3414,114.173,4.189,69.493,1.115,1.632,0.418,0.369
4FGL J1949.2-1453,112.369,-19.398,25.677,0.304,1.607,0.194,0.162
4FGL J1951.0+2523,141.440,-0.659,62.196,1.090,0.787,5.608,0.390
4FGL J1951.6+2621,85.013,-0.232,62.957,0.525,0.814,2.045,0.283
4FGL J1954.5+2420,88.710,-1.892,61.641,1.435,0.975,1.658,0.708
4FGL J2004.9+3421,39.241,1.441,71.321,0.572,0.952,0.624,0.292
4FGL J2007.2-3157,91.247,-29.106,9.648,0.428,3.656,0.151,0.243
4FGL J2007.9+2511,122.379,-3.969,63.974,1.301,1.972,0.903,0.509
4FGL J2009.9-2116,91.446,-26.341,21.307,1.344,2.470,0.131,0.501
4FGL J2026.0+4718,56.396,5.321,84.362,1.018,1.924,0.242,0.462
4FGL J2026.3+1431,224.272,-13.451,57.278,0.879,1.802,0.316,0.310
4FGL J2027.0+2811,436.087,-5.882,68.833,1.357,0.923,5.661,0.252
4FGL J2031.7+3138,58.513,-4.734,72.246,1.218,1.567,0.248,0.467
4FGL J2038.4+4212,169.908,0.528,81.587,0.680,1.287,7.773,0.135
4FGL J2041.1+4736,1290.122,3.458,86.094,0.659,1.117,25.460,0.099
4FGL J2043.9-4802,461.037,-38.279,351.625,1.150,1.569,0.853,0.249
4FGL J2046.1-1626,172.608,-32.614,30.084,0.808,1.430,0.252,0.266
4FGL J2050.4-3015,45.232,-37.788,14.267,1.942,1.455,0.086,
4FGL J2051.7+5051,443.119,4.128,89.723,1.038,1.588,6.219,0.277
4FGL J2052.1+5539,40.297,7.257,93.369,0.203,1.039,0.222,0.182
4FGL J2054.2+6904,250.001,15.299,104.373,0.793,0.894,0.702,0.209
4FGL J2056.4-5922,150.068,-38.908,336.967,0.592,1.183,0.175,0.239
4FGL J2058.0+3338,76.355,-7.839,77.258,0.865,2.111,0.146,0.381
4FGL J2108.0+5155,278.265,2.942,92.196,0.611,0.790,9.057,0.220
4FGL J2110.7+5129,48.722,2.260,92.003,1.093,0.264,3.084,0.539
4FGL J2112.0+3744,82.765,-7.227,82.237,0.289,0.170,1.415,0.272
4FGL J2112.5-3043,3996.788,-42.434,14.893,0.977,2.209,26.199,0.081
4FGL J2114.3+5023,249.564,1.147,91.743,0.439,0.640,4.225,0.177
4FGL J2117.9+3729,231.189,-8.278,82.878,0.575,1.627,0.509,0.354
4FGL J2120.0+5257,40.350,2.304,94.174,0.471,1.365,0.373,0.277
4FGL J2120.5+4331,38.033,-4.540,87.651,0.793,0.505,0.333,0.430
4FGL J2124.9-2433,55.563,-43.835,24.006,0.499,1.733,0.060,0.611
4FGL J2133.1-6432,635.937,-41.284,328.764,1.175,1.289,1.203,0.224
4FGL J2201.0-6928,278.353,-41.062,321.298,1.230,1.693,0.250,0.396
4FGL J2212.4+0708,387.296,-38.472,68.811,1.002,1.151,1.052,0.277
4FGL J2218.8+4736,157.111,-7.751,98.074,1.016,1.395,0.284,0.337
4FGL J2219.7-6837,331.085,-42.878,320.713,1.246,2.209,0.254,0.360
4FGL J2220.8+6319,352.425,5.233,106.961,0.665,0.431,10.075,0.173
4FGL J2227.1+6455,61.984,6.106,108.491,0.210,0.329,0.872,0.200
4FGL J2241.4-8327,185.485,-32.586,307.097,0.838,1.607,0.244,0.329
4FGL J2249.4+6222,129.575,2.764,109.308,1.482,0.100,260.209,0.623
4FGL J2250.5+3305,373.412,-23.295,95.610,1.183,0.843,1.089,0.275
4FGL J2342.4-4739,402.673,-65.428,331.597,0.894,1.125,0.392,0.237
4FGL J2358.7+5646,73.092,-5.371,115.717,1.450,2.001,0.123,0.652
4FGL J0116.8+6914,122.994,6.479,125.175,1.931,0.539,1.952,0.495
4FGL J0349.6+4026,60.688,-10.796,155.848,0.786,1.008,0.196,0.338
4FGL J0444.4+1621,46.570,-18.708,182.336,0.418,1.121,0.175,0.274
4FGL J0813.1-5049,51.876,-9.224,266.102,0.627,0.687,0.305,0.358
4FGL J0942.1-5215,37.762,0.459,276.204,0.373,1.524,0.221,0.213
4FGL J1205.1-5951,30.364,2.513,297.289,0.136,1.956,0.160,0.576
4FGL J1353.5-6128,61.269,0.536,310.273,0.433,1.782,1.855,0.394
4FGL J1408.1-6010,36.601,1.315,312.408,0.300,4.429,0.472,0.072
4FGL J1456.3-5419,98.077,4.147,320.536,1.388,0.616,1.147,0.606
4FGL J1513.0-3118,48.114,22.553,335.356,0.880,2.702,0.100,0.468
4FGL J1702.7-5655,3814.772,-9.236,332.397,0.617,0.447,61.008,0.064
4FGL J1706.4-4609,163.159,-3.245,341.406,0.328,0.100,87.996,0.278
4FGL J1710.1-4541,101.784,-3.551,342.007,0.420,1.090,1.721,0.219
4FGL J1722.8-0418,164.374,17.483,18.481,0.388,1.830,0.883,0.137
4FGL J1727.7-3621,162.402,-0.929,351.733,0.661,0.100,853.253,0.356
4FGL J1757.1-1926,64.150,2.517,9.467,0.631,0.816,1.623,0.312
4FGL J1757.6-2731,93.827,-1.565,2.690,0.893,0.100,15.201,0.438
4FGL J1758.8-2326,139.987,0.250,6.223,0.515,2.398,7.579,0.260
4FGL J1759.7-2354,251.262,-0.100,5.933,0.427,1.587,29.577,0.148
4FGL J1813.5+2819,182.117,20.175,55.229,0.915,2.583,0.250,0.316
4FGL J1858.0+0354,731.341,0.293,37.219,0.888,0.100,1404.236,0.191
4FGL J1857.4+0106,761.414,-0.798,34.529,1.242,2.197,138.171,0.546
4FGL J1904.7+0615,76.465,-0.132,39.977,1.192,0.100,1907.050,0.431
4FGL J1912.7+0957,111.885,-0.091,44.246,0.788,0.724,13.517,0.211
4FGL J1919.4+1313,77.649,-0.165,47.976,0.922,0.819,9.848,0.279
4FGL J1936.8-0553,36.748,-12.784,32.826,0.296,2.568,0.095,0.227
4FGL J2001.5+1611,54.011,-7.434,55.434,1.598,0.100,5.955,0.456
4FGL J2104.0+4623,52.861,-0.196,87.802,0.898,0.612,1.377,0.408
4FGL J2323.9+6219,30.486,1.182,113.165,0.060,0.100,24.430,0.204
