4FGL-DR4,ts,r95,glat,glon,Fp,Ep,curvature,sgu,uw_name
4FGL J1649.1-1359,68.529,0.178,19.191,5.155,2.334,0.346,1.320,,J1649.2-1359
4FGL J1649.2-4513,91.760,0.131,-0.196,340.260,28.810,0.933,1.868,,J1648.7-4510
4FGL J1651.1-5848,62.176,0.108,-9.196,329.953,0.306,0.684,0.968,True,J1651.5-5849
4FGL J1651.7-4359,308.563,0.047,0.165,341.511,50.995,1.264,1.084,True,J1651.7-4358
4FGL J1654.7-3639,40.402,0.136,4.342,347.556,0.460,0.991,0.999,False,J1654.7-3639
4FGL J1656.5-2733,220.634,0.050,9.684,354.979,1.520,1.284,1.338,False,J1656.5-2734
4FGL J1659.2-1443,64.341,0.063,16.767,5.996,0.314,2.930,2.000,False,J1659.3-1444
4FGL J1700.0-0122,58.305,0.113,23.837,18.165,0.340,0.975,1.334,False,J1700.3-0119
4FGL J1700.8-5218,43.059,0.079,-6.283,335.955,0.198,2.141,1.944,True,J1701.2-5220
4FGL J1701.9-4625,39.854,0.219,-2.954,340.666,1.001,1.179,1.012,True,J1702.5-4635
4FGL J1704.0-4226,73.487,0.075,-0.630,344.099,4.729,2.328,1.987,,J1703.9-4227
4FGL J1704.9-4303,47.758,0.070,-1.122,343.713,1.525,2.635,1.842,False,J1704.8-4303
4FGL J1705.1-4748,99.307,0.118,-4.055,340.007,17.870,0.100,0.300,True,J1705.3-4746
4FGL J1705.2-3850,124.187,0.079,1.391,347.122,3.953,1.814,1.173,True,J1705.1-3849
4FGL J1705.4-4850,91.162,0.131,-4.666,339.207,1.446,0.790,0.898,True,J1705.4-4846
4FGL J1706.2-4950,101.545,0.094,-5.403,338.420,1.220,0.857,0.960,True,J1706.1-4951
4FGL J1709.9-0900,86.178,0.089,17.764,12.530,0.744,0.990,1.195,False,J1710.0-0859
4FGL J1711.0-3002,238.863,0.051,5.634,354.919,3.688,1.351,1.421,False,J1711.1-3002
4FGL J1711.4-2526,95.365,0.082,8.280,358.765,1.099,0.817,0.905,False,J1711.4-2524
4FGL J1714.9-3324,156.991,0.062,3.019,352.684,2.449,2.440,1.358,True,J1715.0-3322
4FGL J1717.5-5804,261.601,0.039,-11.510,332.601,1.095,2.485,1.977,False,J1717.5-5804
4FGL J1717.5-4022,43.701,0.087,-1.481,347.281,0.801,3.280,2.000,False,J1717.6-4023
4FGL J1719.0-4221,94.032,0.099,-2.790,345.807,1.608,1.306,1.060,True,J1718.8-4220
4FGL J1719.3-3424,45.514,0.112,1.674,352.366,1.251,2.498,1.905,True,J1719.4-3425
4FGL J1722.1-4007,63.509,0.161,-2.112,348.066,1.051,2.062,1.584,True,J1722.7-4006
4FGL J1722.6-3135,95.543,0.103,2.697,355.128,2.435,1.975,1.886,True,J1722.8-3133
4FGL J1722.7-3258,52.812,0.203,1.928,353.944,2.467,0.924,1.172,,J1722.7-3258
4FGL J1724.5-3008,63.768,0.150,3.365,356.518,1.520,1.343,1.954,True,J1723.9-3002
4FGL J1726.7-3930,64.688,0.191,-2.239,349.111,0.835,1.423,1.428,True,J1726.3-3918
4FGL J1728.0-3550,51.977,0.136,-0.575,352.138,4.377,1.455,1.276,True,J1727.8-3552
4FGL J1729.4-2831,166.166,0.099,3.190,358.583,5.341,1.031,1.210,True,J1729.8-2825
4FGL J1729.4-2646,102.296,0.084,4.203,359.867,1.906,1.946,1.465,True,J1729.2-2647
4FGL J1729.9-2952,49.345,0.094,2.368,357.392,0.779,3.727,1.935,False,J1730.0-2952
4FGL J1730.3-2913,61.714,0.114,2.706,357.994,1.015,1.850,1.184,False,J1730.2-2910
4FGL J1730.5-3543,82.109,0.113,-0.949,352.560,6.868,1.042,1.028,,J1730.5-3543
4FGL J1731.9-2800,90.441,0.110,3.033,359.178,1.792,2.232,1.757,True,J1731.9-2800
4FGL J1733.4+2235,83.679,0.060,26.732,45.889,0.105,2.110,2.000,False,J1733.2+2232
4FGL J1733.6-2431,67.457,0.099,4.676,2.313,1.171,1.596,1.425,True,J1733.3-2429
4FGL J1735.1-3708,52.214,0.093,-2.494,351.886,0.654,1.871,1.250,True,J1735.1-3708
4FGL J1738.1-2453,196.783,0.086,3.552,2.591,142.469,0.100,0.268,True,J1738.1-2451
4FGL J1738.2-2510,82.826,0.078,3.350,2.313,1.603,2.881,1.901,True,J1738.3-2512
4FGL J1738.6-3627,48.414,0.140,-2.740,352.837,0.704,1.692,1.402,True,J1738.7-3627
4FGL J1738.8-3241,101.135,0.090,-0.729,356.007,9.546,1.176,1.497,True,J1738.6-3242
4FGL J1739.1-1059,89.199,0.073,10.586,14.653,1.207,0.884,1.331,False,J1739.2-1059
4FGL J1740.5-2554,132.404,0.108,2.490,1.942,5.167,0.902,0.951,True,J1740.6-2558
4FGL J1741.1-3328,70.310,0.066,-1.625,355.646,1.506,2.520,1.336,True,J1741.4-3329
4FGL J1741.5-2344,42.126,0.159,3.644,3.844,0.977,1.127,2.001,True,J1740.7-2345
4FGL J1742.5-2833,194.562,0.071,0.733,359.972,25.802,1.678,1.859,True,J1742.7-2834
4FGL J1743.0-3201,101.473,0.086,-1.009,357.200,44.529,0.118,0.293,True,J1742.8-3151
4FGL J1743.4-3406,45.831,0.116,-2.264,355.401,1.034,1.233,1.120,True,J1743.4-3402
4FGL J1746.4-3541,162.942,0.109,-3.723,354.283,6.161,0.591,1.078,True,J1746.6-3545
4FGL J1747.8-1827,60.621,0.226,4.919,9.194,12.966,0.100,0.645,True,J1747.9-1831
4FGL J1748.3-2906,141.677,0.042,-0.596,0.177,15.039,2.511,1.330,True,J1748.3-2905
4FGL J1748.5-1648,78.419,0.186,5.671,10.755,13.813,0.147,0.699,True,J1748.5-1648
4FGL J1749.0-2119,53.486,0.248,3.290,6.981,1.504,0.674,0.862,True,J1749.1-2115
4FGL J1750.0-3347,47.593,0.140,-3.566,356.290,0.565,1.654,1.507,True,J1750.9-3357
4FGL J1751.6-3002,60.809,0.152,-1.693,359.724,22.302,0.100,0.293,True,J1751.6-3002
4FGL J1752.3-2914,195.497,0.066,-1.566,0.488,47.597,0.136,0.303,True,J1752.9-2919
4FGL J1754.3-4443,159.443,0.053,-9.495,347.208,1.022,1.031,1.002,False,J1754.3-4443
4FGL J1754.3-2915,50.716,0.089,-1.841,0.723,1.031,2.046,1.421,True,J1754.5-2915
4FGL J1754.6-2933,241.268,0.054,-1.985,0.470,9.900,1.211,1.191,True,J1754.5-2933
4FGL J1757.1-3554,114.769,0.067,-5.638,355.233,1.026,1.567,1.623,True,J1757.1-3554
4FGL J1758.0-2953,78.729,0.087,-2.824,0.573,1.243,1.887,1.558,True,J1758.1-2952
4FGL J1758.8-1654,60.685,0.107,3.502,11.900,0.780,1.555,1.176,True,J1758.8-1654
4FGL J1759.2-0243,76.600,0.144,10.267,24.491,4.798,0.332,1.316,False,J1759.4-0242
4FGL J1759.8-1250,70.515,0.075,5.320,15.645,0.856,2.117,1.946,True,J1759.9-1246
4FGL J1801.1-2626,127.877,0.044,-1.711,3.885,2.654,3.528,1.957,False,J1801.1-2627
4FGL J1802.1-2652,104.051,0.087,-2.122,3.662,4.225,0.909,1.134,True,J1802.2-2651
4FGL J1803.8-2908,135.690,0.106,-3.542,1.944,4.722,0.798,1.843,True,J1804.0-2902
4FGL J1804.9-3001,85.018,0.162,-4.189,1.305,1.296,0.862,0.901,True,J1805.2-2955
4FGL J1805.1-3618,387.271,0.034,-7.246,355.667,2.815,1.387,1.158,False,J1805.1-3618
4FGL J1808.2-1055,110.637,0.136,4.441,18.285,8.363,0.558,1.833,False,J1808.2-1053
4FGL J1808.4-3358,540.628,0.035,-6.734,358.034,7.978,0.914,1.178,True,J1808.4-3359
4FGL J1808.4-4521,56.044,0.075,-11.966,347.823,0.158,2.493,1.911,False,J1808.3-4520
4FGL J1808.6-0110,31.391,0.153,8.974,26.950,0.529,0.452,0.868,,J1808.6-0110
4FGL J1808.9-2607,74.707,0.107,-3.065,5.031,1.201,1.421,1.346,True,J1808.9-2607
4FGL J1809.0-2853,56.168,0.130,-4.487,2.627,0.437,2.033,1.375,True,J1809.3-2854
4FGL J1810.6-0945,113.127,0.097,4.480,19.573,13.052,0.182,0.470,False,J1810.6-0945
4FGL J1812.2-0856,61.140,0.181,4.475,20.538,2.892,0.607,1.169,False,J1812.5-0854
4FGL J1812.4-4417,35.364,0.132,-12.129,349.109,0.100,1.203,1.104,False,J1812.2-4417
4FGL J1813.2-1128,75.182,0.080,3.094,18.373,1.360,2.284,1.268,True,J1813.2-1127
4FGL J1814.6-2537,133.119,0.095,-3.978,6.039,2.396,1.394,1.952,True,J1814.6-2540
4FGL J1815.1+5917,134.331,0.092,27.579,88.251,0.356,0.658,2.000,False,J1815.5+5917
4FGL J1815.3-1336,56.055,0.129,1.569,16.813,2.109,1.313,1.061,True,J1815.7-1333
4FGL J1815.8-1416,94.032,0.081,1.191,16.227,3.921,1.701,1.275,True,J1815.9-1415
4FGL J1816.3-2903,114.970,0.105,-5.807,3.273,1.557,0.550,0.911,True,J1816.0-2857
4FGL J1818.6-3206,212.826,0.067,-7.698,0.758,2.721,0.597,0.798,True,J1818.4-3203
4FGL J1820.6-0326,31.594,0.070,5.234,26.332,0.339,2.715,1.943,False,J1820.7-0327
4FGL J1820.7-3217,92.533,0.054,-8.227,0.761,0.436,1.870,1.194,False,J1820.7-3217
4FGL J1825.0-2547,29.172,0.128,-6.075,6.956,0.158,1.526,1.114,False,J1824.7-2550
4FGL J1828.2-3252,70.246,0.052,-9.870,0.968,0.224,3.399,1.766,False,J1828.1-3250
4FGL J1829.6-4310,43.544,0.091,-14.458,351.572,0.086,1.602,1.354,False,J1829.5-4306
4FGL J1830.1-0212,77.824,0.174,3.867,28.550,7.066,0.670,1.204,,J1829.6-0207
4FGL J1831.2-0013,35.851,0.144,4.437,30.413,0.723,1.778,2.000,False,J1831.0-0012
4FGL J1831.8-2514,41.985,0.156,-7.204,8.214,0.370,1.240,1.997,True,J1831.7-2514
4FGL J1833.4+1109,36.170,0.091,8.990,40.862,0.100,3.181,1.617,False,J1833.4+1106
4FGL J1834.2-0827,130.468,0.083,-0.105,23.448,39.089,1.242,1.690,,J1834.3-0828
4FGL J1840.4-1139,136.480,0.068,-2.891,21.303,2.203,2.085,1.647,False,J1840.4-1139
4FGL J1842.1+2737,367.631,0.033,14.064,57.052,0.878,2.325,1.310,False,J1842.2+2737
4FGL J1847.2-0200,53.125,0.145,0.052,30.563,8.404,2.201,1.944,,J1846.9-0205
4FGL J1848.2-1309,26.579,0.133,-5.253,20.807,0.181,1.869,1.548,False,J1848.1-1310
4FGL J1848.8+0701,67.260,0.184,3.771,38.832,10.701,0.146,0.416,True,J1848.7+0657
4FGL J1850.7-3126,57.555,0.108,-13.609,4.314,0.348,0.713,1.348,False,J1850.6-3126
4FGL J1851.5+0718,143.311,0.068,3.298,39.468,2.444,2.058,1.226,True,J1851.5+0719
4FGL J1853.0-0956,90.116,0.124,-4.928,24.164,0.974,0.886,0.909,True,J1853.1-1002
4FGL J1853.8-1107,74.486,0.108,-5.497,23.345,0.720,0.978,1.109,True,J1853.6-1101
4FGL J1854.7-0716,37.595,0.139,-4.038,26.812,0.284,1.318,1.066,True,J1854.7-0716
4FGL J1855.3-0740,99.427,0.175,-4.455,26.404,3.171,0.494,1.394,True,J1855.4-0750
4FGL J1856.3-0548,47.251,0.161,-3.739,28.319,0.868,0.697,0.967,True,J1856.3-0548
4FGL J1856.7+0125,1226.739,0.033,-0.484,34.762,883.256,0.715,1.127,,J1856.4+0124
4FGL J1856.7-0116,37.922,0.203,-1.735,32.349,1.121,0.844,0.957,False,J1856.5-0118
4FGL J1857.8-3220,91.064,0.063,-15.360,4.066,0.263,1.412,1.144,False,J1857.8-3220
4FGL J1858.0-1052,109.069,0.075,-6.382,24.002,1.921,0.470,0.790,True,J1858.1-1050
4FGL J1858.6-0746,56.146,0.088,-5.138,26.813,0.370,1.626,1.486,True,J1858.6-0746
4FGL J1902.4-3417,68.931,0.094,-16.973,2.433,0.233,0.902,1.258,False,J1902.1-3424
4FGL J1902.8-0855,76.457,0.135,-6.587,26.261,1.084,0.618,1.161,False,J1902.9-0855
4FGL J1903.4-0400,51.799,0.185,-4.503,30.725,0.933,0.601,0.884,,J1903.4-0400
4FGL J1905.8+4942,124.290,0.102,18.126,80.140,0.324,0.646,1.581,False,J1906.0+4941
4FGL J1906.0-1718,84.771,0.061,-10.945,18.976,0.256,1.904,1.562,False,J1906.0-1717
4FGL J1906.1+1651,132.675,0.046,4.446,49.607,0.521,3.335,1.475,False,J1906.1+1651
4FGL J1906.4-2001,67.444,0.083,-12.168,16.470,0.296,1.084,1.334,False,J1906.3-2002
4FGL J1909.2+4646,101.922,0.066,16.532,77.463,0.093,1.864,1.174,False,J1909.2+4643
4FGL J1910.1-4704,70.681,0.098,-22.525,350.281,0.156,0.888,0.919,False,J1910.1-4701
4FGL J1911.4-4856,111.507,0.060,-23.245,348.350,0.198,1.842,1.684,False,J1911.4-4856
4FGL J1912.5+1320,89.855,0.127,1.446,47.181,162.115,0.100,0.172,True,J1912.6+1319
4FGL J1913.2+2342,28.535,0.115,6.080,56.505,0.110,1.402,1.198,False,J1913.2+2342
4FGL J1913.4-1526,137.927,0.048,-11.755,21.442,0.466,2.064,1.729,False,J1913.4-1527
4FGL J1914.6-1157,84.295,0.071,-10.511,24.801,0.708,0.624,0.880,False,J1914.6-1156
4FGL J1915.7-0846,38.756,0.102,-9.377,27.811,0.195,1.256,1.315,False,J1915.7-0846
4FGL J1922.4+1453,93.462,0.155,0.103,49.767,28.969,0.332,0.779,,J1922.4+1459
4FGL J1925.3+1522,87.223,0.104,-0.310,50.410,6.628,0.888,1.027,,J1925.2+1521
4FGL J1927.4+0253,95.874,0.082,-6.671,39.701,0.567,1.049,0.990,False,J1927.5+0256
4FGL J1931.0+1754,71.703,0.151,-0.301,53.277,3.934,0.941,1.001,,J1930.9+1752
4FGL J1934.2-1446,78.584,0.124,-16.118,24.374,0.626,0.393,0.801,False,J1934.7-1442
4FGL J1944.3-5347,39.630,0.110,-29.219,344.144,0.072,2.084,2.000,False,J1944.3-5347
4FGL J1947.0+0031,67.294,0.058,-12.073,39.847,0.140,3.227,1.482,False,J1946.9+0032
4FGL J1948.1+2511,59.094,0.140,-0.228,61.636,2.073,1.231,2.000,False,J1948.3+2511
4FGL J1951.0+2523,141.440,0.110,-0.659,62.196,5.608,0.787,1.046,False,J1951.2+2527
4FGL J2007.9+2511,122.379,0.068,-3.969,63.974,0.903,1.972,1.192,False,J2007.8+2513
4FGL J2009.5+2425,39.875,0.332,-4.734,63.609,0.719,0.291,0.670,False,J2009.8+2430
4FGL J2022.6+3716,73.774,0.142,0.223,75.894,2.664,1.003,0.990,,J2022.5+3728
4FGL J2027.0+2811,436.087,0.040,-5.882,68.833,5.661,0.923,1.752,False,J2027.0+2811
4FGL J2052.1+5539,40.297,0.142,7.257,93.369,0.222,1.039,1.233,False,J2050.8+5538
4FGL J2052.3+4437,98.543,0.211,-0.114,85.036,6.156,0.755,2.001,False,J2053.3+4432
4FGL J2058.0+3338,76.355,0.058,-7.839,77.258,0.146,2.111,1.352,False,J2058.0+3337
4FGL J2101.8+5044,26.782,0.845,2.712,90.622,0.917,0.696,1.147,,J2102.2+5037
4FGL J2109.5+5238,64.684,0.230,3.402,92.907,11.864,0.137,0.431,,J2108.8+5246
4FGL J2110.7+5129,48.722,0.258,2.260,92.003,3.084,0.264,0.956,False,J2110.2+5120
4FGL J2114.8+6000,39.812,0.125,7.730,98.746,0.245,0.996,1.810,,J2114.5+5958
4FGL J2115.2+5219,52.543,0.256,2.352,93.263,4.486,0.141,0.681,,J2115.4+5218
4FGL J2120.3+5227,46.397,0.148,1.921,93.884,1.105,0.936,1.165,,J2120.3+5227
4FGL J2120.5+4331,38.033,0.337,-4.540,87.651,0.333,0.505,0.804,False,J2121.3+4329
4FGL J2144.2+7709,70.448,0.060,18.000,113.120,0.137,2.829,2.000,,J2144.3+7708
4FGL J2147.0+5738,41.357,0.297,3.001,100.266,1.366,0.246,0.767,,J2148.0+5733
4FGL J2201.0-6928,278.353,0.042,-41.062,321.298,0.250,1.693,1.157,False,J2201.0-6927
4FGL J2220.8+6319,352.425,0.050,5.233,106.961,10.075,0.431,0.673,False,J2220.9+6320
4FGL J2221.1+6605,36.124,0.219,7.528,108.498,1.505,0.202,0.698,False,J2221.1+6605
4FGL J2221.6+6349,93.538,0.085,5.626,107.294,1.376,0.388,0.707,,J2221.4+6350
4FGL J2233.3+6530,184.814,0.079,6.370,109.231,2.984,0.733,1.209,,J2233.1+6529
4FGL J2250.5+3305,373.412,0.051,-23.295,95.610,1.089,0.843,1.158,False,J2250.5+3305
4FGL J2256.5+6212,70.645,0.114,2.189,109.944,0.946,1.067,1.166,,J2256.5+6207
4FGL J2301.8+6235,72.812,0.165,2.312,110.705,3.332,0.179,0.764,,J2302.0+6233
4FGL J2350.7+6738,63.991,0.115,5.445,117.203,0.713,0.745,1.121,,J2350.8+6738
4FGL J2358.7+5646,73.092,0.052,-5.371,115.717,0.123,2.001,1.208,False,J2358.6+5645
4FGL J0116.8+6914,122.994,0.109,6.479,125.175,1.952,0.539,1.806,False,J0116.6+6914
4FGL J0144.3+5959,28.298,0.269,-2.240,129.359,0.289,0.693,1.908,False,J0143.1+5959
4FGL J0609.1+1544,62.822,0.348,-1.925,194.142,3.936,0.417,1.651,False,J0609.1+1544
4FGL J0813.1-5049,51.876,0.130,-9.224,266.102,0.305,0.687,0.836,False,J0812.2-5055
4FGL J0910.3-4816,177.323,0.159,-0.073,269.663,41.221,0.291,1.090,,J0910.3-4808
4FGL J1205.1-5951,30.364,0.155,2.513,297.289,0.160,1.956,1.386,False,J1206.3-5951
4FGL J1408.1-6010,36.601,0.103,1.315,312.408,0.472,4.429,1.943,False,J1408.6-6007
4FGL J1430.9-6024,88.196,0.263,0.111,315.017,8.827,0.351,1.272,,J1431.7-6023
4FGL J1513.0-3118,48.114,0.083,22.553,335.356,0.100,2.702,2.000,False,J1513.0-3115
4FGL J1704.4-4540,65.626,0.103,-2.703,341.598,1.447,1.567,1.296,,J1704.7-4541
4FGL J1757.6-2731,93.827,0.148,-1.565,2.690,15.201,0.100,0.461,True,J1757.9-2725
4FGL J1919.4+1313,77.649,0.181,-0.165,47.976,9.848,0.819,1.812,True,J1919.9+1316
4FGL J1936.8-0553,36.748,0.078,-12.784,32.826,0.095,2.568,1.624,False,J1936.9-0552
4FGL J1946.9-1220,65.498,0.206,-17.832,27.959,2.863,0.161,1.051,False,J1947.0-1218
4FGL J2104.0+4623,52.861,0.117,-0.196,87.802,1.377,0.612,1.078,False,J2104.0+4634
